Thread Size	Length	Thread Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Fastener Strength Grade	Hardness	Tensile Strength	Specifications Met	Part Number	Price	Material	Thread Direction
"2 1/2""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A215	266.37	Carbon Steel	right
"3/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A730	11.34	Zinc-Plated Carbon Steel	right
"3/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A420	35.64	Zinc-Plated Carbon Steel	right
"3/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A240	60.82	Zinc-Plated Carbon Steel	right
"1/2""-10"	"6"""	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A431	11.74	Zinc-Plated Carbon Steel	right
"1/2""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A735	13.1	Zinc-Plated Carbon Steel	right
"1/2""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A425	21.76	Zinc-Plated Carbon Steel	right
"1/2""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A250	31.09	Zinc-Plated Carbon Steel	right
"5/8""-8"	"6"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A441	13.01	Zinc-Plated Carbon Steel	right
"5/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A740	16.9	Zinc-Plated Carbon Steel	right
"5/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A430	28.52	Zinc-Plated Carbon Steel	right
"5/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A260	32.53	Zinc-Plated Carbon Steel	right
"3/4""-5"	"6"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A205	15.19	Zinc-Plated Carbon Steel	right
"3/4""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A745	20.22	Zinc-Plated Carbon Steel	right
"3/4""-5"	"18"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A233	27.8	Zinc-Plated Carbon Steel	right
"3/4""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A435	33.46	Zinc-Plated Carbon Steel	right
"3/4""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A268	47.58	Zinc-Plated Carbon Steel	right
"3/4""-6"	"6"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A451	15.19	Zinc-Plated Carbon Steel	right
"3/4""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A750	20.45	Zinc-Plated Carbon Steel	right
"3/4""-6"	"16"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A461	25.71	Zinc-Plated Carbon Steel	right
"3/4""-6"	"18"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A463	27.8	Zinc-Plated Carbon Steel	right
"3/4""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A440	35.47	Zinc-Plated Carbon Steel	right
"3/4""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A270	51.35	Zinc-Plated Carbon Steel	right
"1""-5"	"6"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A471	19.08	Zinc-Plated Carbon Steel	right
"1""-5"	"10"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A475	25.54	Zinc-Plated Carbon Steel	right
"1""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A755	20.83	Zinc-Plated Carbon Steel	right
"1""-5"	"18"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A505	38.59	Zinc-Plated Carbon Steel	right
"1""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A445	51.07	Zinc-Plated Carbon Steel	right
"1""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A280	65.2	Zinc-Plated Carbon Steel	right
"1""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A760	20.35	Zinc-Plated Carbon Steel	right
"1""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A450	44.05	Zinc-Plated Carbon Steel	right
"1""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A282	69.08	Zinc-Plated Carbon Steel	right
"1 1/4""-5"	"6"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A481	24.39	Zinc-Plated Carbon Steel	right
"1 1/4""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A487	37.37	Zinc-Plated Carbon Steel	right
"1 1/4""-5"	"18"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A493	49.32	Zinc-Plated Carbon Steel	right
"1 1/4""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A455	72.19	Zinc-Plated Carbon Steel	right
"1 1/4""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A290	113.65	Zinc-Plated Carbon Steel	right
"1 1/2""-4"	"6"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A621	29.61	Zinc-Plated Carbon Steel	right
"1 1/2""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A770	53.44	Zinc-Plated Carbon Steel	right
"1 1/2""-4"	"18"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	93255A649	88.52	Zinc-Plated Carbon Steel	right
"1 1/2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A460	203.42	Zinc-Plated Carbon Steel	right
"1 1/2""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98941A300	335.98	Zinc-Plated Carbon Steel	right
"1/4""-16"	"6"""	1	1:1	"0.063"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A881	9.25	Alloy Steel	right
"1/4""-16"	"12"""	1	1:1	"0.063"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A904	11.03	Alloy Steel	right
"1/4""-16"	3 ft.	1	1:1	"0.063"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A606	32.41	Alloy Steel	right
"1/4""-16"	6 ft.	1	1:1	"0.063"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A305	60.34	Alloy Steel	right
"3/8""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A908	11.03	Alloy Steel	right
"3/8""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A607	32.76	Alloy Steel	right
"3/8""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A310	65.41	Alloy Steel	right
"3/8""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A912	14.83	Alloy Steel	right
"3/8""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A608	43.7	Alloy Steel	right
"3/8""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A315	79.72	Alloy Steel	right
"3/8""-12"	"6"""	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A882	9.81	Alloy Steel	right
"3/8""-12"	"12"""	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A916	11.59	Alloy Steel	right
"3/8""-12"	2 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A111	22.84	Alloy Steel	right
"3/8""-12"	3 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A609	34.14	Alloy Steel	right
"3/8""-12"	6 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A110	62.07	Alloy Steel	right
"3/8""-12"	12 ft.	1	1:1	"0.083"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A825	122.76	Alloy Steel	right
"1/2""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A920	16.38	Alloy Steel	right
"1/2""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A611	48.28	Alloy Steel	right
"1/2""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A320	70.07	Alloy Steel	right
"1/2""-10"	"6"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A110	14.38	Alloy Steel	right
"1/2""-10"	"8"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A130	19.16	Alloy Steel	right
"1/2""-10"	"10"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A150	21.21	Alloy Steel	right
"1/2""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A924	16.38	Alloy Steel	right
"1/2""-10"	2 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A112	21.83	Alloy Steel	right
"1/2""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A615	28.97	Alloy Steel	right
"1/2""-10"	4 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A113	34.07	Alloy Steel	right
"1/2""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A120	48.28	Alloy Steel	right
"1/2""-10"	8 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A114	65.56	Alloy Steel	right
"1/2""-10"	12 ft.	1	1:1	"0.1"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A840	96.49	Alloy Steel	right
"5/8""-6"	"12"""	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A928	23.62	Alloy Steel	right
"5/8""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A617	46.21	Alloy Steel	right
"5/8""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93410A325	77.24	Alloy Steel	right
"5/8""-8"	"6"""	1	1:1	"0.125"""	Class 2G	Grade B7	Rockwell C35	125000	ASTM A193	93420A210	15.47	Alloy Steel	right
