Thread Size	Height	Width	Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Hardness	Specifications Met	Part	Cost	Material	Direction	Type
"1 1/2""-4"	"1 1/2"""	"2 3/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A113	18.67	Carbon Steel	left	hex
"1 1/2""-5"	"1 1/2"""	"2 3/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A123	39.33	Carbon Steel	left	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A114	33.8	Carbon Steel	left	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	__	98948A130	10.21	Zinc-Plated Carbon Steel	left	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	__	98948A140	11.54	Zinc-Plated Carbon Steel	left	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	__	98948A150	11.75	Zinc-Plated Carbon Steel	left	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A170	14.45	Zinc-Plated Carbon Steel	left	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	__	98948A220	27.8	Zinc-Plated Carbon Steel	left	hex
"1/2""-10"	"1/2"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A314	6.97	360 Brass	left	hex
"5/8""-8"	"5/8"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B75	ASTM B16	95155A319	8.96	360 Brass	left	hex
"3/4""-5"	"3/4"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A323	11.29	360 Brass	left	hex
"3/4""-6"	"3/4"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A327	11.29	360 Brass	left	hex
"7/8""-6"	"7/8"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A343	14.72	360 Brass	left	hex
"1""-5"	"1"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A347	18.11	360 Brass	left	hex
"1""-6"	"1"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B75	ASTM B16	95155A351	18.11	360 Brass	left	hex
"1""-10"	"1"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B75	ASTM B16	95155A355	18.11	360 Brass	left	hex
"1 1/8""-5"	"1 1/8"""	"1 3/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A359	24.33	360 Brass	left	hex
"1 1/4""-5"	"1 1/4"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B75	ASTM B16	95155A363	34.29	360 Brass	left	hex
"1 1/2""-4"	"1 1/2"""	"2 1/4"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A367	47.11	360 Brass	left	hex
"2""-4"	"2"""	"3"""	1	1:1	"0.25"""	Class 2G	Rockwell B75	ASTM B16	95155A371	102.94	360 Brass	left	hex
"1/4""-16"	"13/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B97	__	95066A305	12.6	18-8 Stainless Steel	left	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A355	23.78	18-8 Stainless Steel	left	hex
